"response.docs.web_url","response.docs.snippet","response.docs.lead_paragraph","response.docs.source","response.docs.pub_date","response.docs.news_desk","response.docs.section_name","response.docs.subsectoinName","response.docs.type_of_material","response.docs.word_count","response.docs.score","response.docs.byline.organization","response.docs.headline.kicker","response.docs.headline.content_kicker","response.docs.headline.seo","response.docs.headline.sub","response.docs.byline.original","response.docs.byline.organization.1","response.meta.hits","response.meta.offset"
"https://www.nytimes.com/2018/08/27/world/asia/north-korea-united-states-diplomacy-stalls-.html","Belligerent articles alleged “extremely provocative and dangerous” American military moves after the United States canceled a trip by Secretary of State Mike Pompeo.","Belligerent articles alleged “extremely provocative and dangerous” American military moves after the United States canceled a trip by Secretary of State Mike Pompeo.","The New York Times","2018-08-27T20:45:06+0000","Washington","World","Asia Pacific","News",732,0,NA,NA,NA,NA,NA,"By EDWARD WONG",NA,268,30
"https://www.nytimes.com/2018/08/09/world/asia/north-korea-south-summit.html","The countries’ leaders have already met twice this year, but Seoul hopes that another meeting could break an impasse over the dismantling of Pyongyang’s nuclear arms program.","The countries’ leaders have already met twice this year, but Seoul hopes that another meeting could break an impasse over the dismantling of Pyongyang’s nuclear arms program.","The New York Times","2018-08-09T12:25:06+0000","Foreign","World","Asia Pacific","News",594,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN",NA,268,40
"https://www.nytimes.com/2018/07/12/world/asia/north-korea-kim-jong-un-trump-letter-nuclear.html","To buttress his claim, the president released a “very nice note” from Kim Jong-un, North Korea’s leader. The note said nothing about nuclear weapons.","To buttress his claim, the president released a “very nice note” from Kim Jong-un, North Korea’s leader. The note said nothing about nuclear weapons.","The New York Times","2018-07-12T18:06:44+0000","Foreign","World","Asia Pacific","News",687,0,NA,NA,NA,NA,NA,"By JULIE HIRSCHFELD DAVIS and RICK GLADSTONE",NA,268,40
"https://www.nytimes.com/2018/06/15/world/asia/us-trump-north-korea-credible-military-exercises.html","As the president praised the North Korean leader, the Pentagon and South Korea moved toward canceling a large-scale and long-planned military exercise that was set for August.","As the president praised the North Korean leader, the Pentagon and South Korea moved toward canceling a large-scale and long-planned military exercise that was set for August.","The New York Times","2018-06-16T00:36:15+0000","Washington","World","Asia Pacific","News",1356,0,NA,NA,NA,NA,NA,"By HELENE COOPER and MARK LANDLER",NA,268,40
"https://www.nytimes.com/2018/06/06/world/asia/kim-korea-image.html","Can someone change so quickly? A summit meeting with President Trump will test the North Korean leader’s radical transformation.","Can someone change so quickly? A summit meeting with President Trump will test the North Korean leader’s radical transformation.","The New York Times","2018-06-06T17:40:11+0000","Foreign","World","Asia Pacific","News",1395,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN",NA,268,40
"https://www.nytimes.com/2018/06/04/us/politics/trump-syria-north-korea-meeting.html","White House officials said Mr. Trump would directly discuss his views with Kim Jong-un about a summit meeting between the two rogue states.","White House officials said Mr. Trump would directly discuss his views with Kim Jong-un about a summit meeting between the two rogue states.","The New York Times","2018-06-05T00:41:00+0000","Washington","U.S.","Politics","News Analysis",1082,0,NA,"News Analysis","News Analysis",NA,NA,"By DAVID E. SANGER and MARK LANDLER",NA,268,40
"https://www.nytimes.com/2018/06/28/opinion/trump-putin-summit-russia.html","It’s good to meet with adversaries. But when Mr. Trump sits down with Mr. Putin, it will be a meeting of kindred spirits. That’s a problem.","It’s good to meet with adversaries. But when Mr. Trump sits down with Mr. Putin, it will be a meeting of kindred spirits. That’s a problem.","The New York Times","2018-06-28T23:47:55+0000","Editorial","Opinion",NA,"Editorial",994,0,"THE EDITORIAL BOARD","Editorial","Editorial",NA,NA,"By THE EDITORIAL BOARD","THE EDITORIAL BOARD",268,40
"https://www.nytimes.com/2018/06/08/arts/television/colbert-trump-preparation-kim.html","Stephen Colbert was unimpressed by President Trump’s statement that he wouldn’t “have to prepare very much” for his historic meeting with the North Korean leader.","Stephen Colbert was unimpressed by President Trump’s statement that he wouldn’t “have to prepare very much” for his historic meeting with the North Korean leader.","The New York Times","2018-06-08T09:01:28+0000","Culture","Arts","Television","News",481,0,NA,"Best of Late Night","Best of Late Night",NA,NA,"By GIOVANNI RUSSONELLO",NA,268,40
"https://www.nytimes.com/2018/07/04/us/politics/trump-north-korea-nuclear.html","As Secretary of State Mike Pompeo heads to Pyongyang this week, he must exceed the terms of the Iran deal — rejected as a “disaster” by his boss — in dismantling North Korea’s nuclear abilities.","As Secretary of State Mike Pompeo heads to Pyongyang this week, he must exceed the terms of the Iran deal — rejected as a “disaster” by his boss — in dismantling North Korea’s nuclear abilities.","The New York Times","2018-07-04T23:48:38+0000","Washington","U.S.","Politics","News Analysis",1260,0,NA,"News Analysis","News Analysis",NA,NA,"By DAVID E. SANGER",NA,268,40
"https://www.nytimes.com/2018/06/11/opinion/trump-kim-north-korea-summit-singapore-sentosa.html","Best known for fake beaches, ornate hotels and real estate speculation, Sentosa now will play host to denuclearization talks with North Korea.","Best known for fake beaches, ornate hotels and real estate speculation, Sentosa now will play host to denuclearization talks with North Korea.","The New York Times","2018-06-11T19:00:04+0000","OpEd","Opinion",NA,"Op-Ed",711,0,NA,"","",NA,NA,"By JAMES CRABTREE",NA,268,40
